name,dck1,dck2,dck3,pd1,pd2,pd3,pg1,pg2,pg3,rd1,rd2,rd3,rg1,rg2,rg3,sov1,sov2,sov3,yd1,yd2,yd3,yg1,yg2,yg3
RMD5,171,131,104,25,95,120,85,96,60,48,78,63,87,97,91,94,452,109,407,227,301,278,293,200
RMD6,1387,1283,1042,152,150,492,4205,2624,2424,101,31,135,3600,2343,6336,247,1014,227,3873,2267,3267,3197,3051,1999
RMD9,126,35,64,0,16,0,0,15,0,0,0,0,0,16,0,72,85,36,14,19,15,0,8,2
RME1,215,297,230,2558,1899,4546,2682,1883,1714,1729,830,1520,2346,1838,3731,428,2723,518,1149,872,1301,2396,1966,1752
RMR1,0,8,4,2,0,0,0,0,0,0,0,0,0,2,0,4,34,0,0,0,0,0,0,0
RMT2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RNH201,374,306,359,497,385,795,812,453,352,535,159,393,810,445,809,234,1348,206,890,582,645,861,731,452
RNH202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNH203,2315,1890,1823,775,719,938,367,519,331,524,438,530,499,446,540,1724,7731,1370,1518,1107,1291,484,537,250
RNH70,1258,1030,1201,537,1039,1860,688,1120,855,647,988,919,642,1067,1148,139,1006,162,1679,1130,959,983,1157,680
RNP1,338,269,322,230,649,1159,174,468,404,448,910,371,264,407,479,424,1176,315,441,408,326,199,743,312
RNQ1,1201,836,847,79,131,130,145,21,47,98,47,112,94,48,92,1196,5113,1188,454,373,289,97,106,42
RNR3,2402,2131,1715,874,1096,709,3423,2748,1065,931,410,360,3416,2353,1963,363,1364,305,2790,2025,2415,3016,3195,1477
ROD1,2458,1936,1519,136,247,252,107,119,59,140,161,101,176,136,54,1700,7444,1693,984,794,780,264,219,111
ROF1,995,821,526,43,38,111,1138,740,492,38,29,16,1084,769,1241,166,1100,119,1458,787,1066,1058,907,623
ROG3,3229,2560,3060,713,240,78,398,94,53,584,126,71,481,131,98,2748,12879,3919,1076,774,751,269,225,86
ROM1,4,2,8,28,3,28,12,10,7,8,2,14,14,0,24,6,26,2,3,6,12,15,18,20
ROQ1,1668,1412,1312,3708,1233,3655,1953,1399,1644,3050,1410,2475,2253,1401,2489,413,2438,529,3098,1863,2463,2104,1643,1027
ROT2,1355,944,1007,7,133,178,75,120,45,35,192,136,133,93,49,1416,5090,1299,693,542,406,175,230,65
ROX1,2382,1358,2159,591,251,1328,222,191,170,561,363,317,354,163,407,655,4184,834,977,772,621,401,375,123
ROY1,3898,3022,2834,311,140,726,310,206,136,151,247,327,351,189,157,2760,13805,2941,1462,1038,1114,305,359,102
RPA12,1125,902,774,0,0,55,0,2,16,1,0,3,1,1,10,291,1805,315,251,301,199,27,66,18
RPA14,965,622,649,240,103,246,82,24,68,122,132,102,115,38,85,278,1407,492,628,532,482,166,168,70
RPA190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPA34,2306,1648,1780,188,7,109,143,15,113,59,32,7,143,8,148,360,1754,401,709,699,505,196,294,55
RPA43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPB11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPB4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPB9,44,58,38,0,0,0,0,0,0,0,0,0,0,0,0,79,128,78,15,16,2,0,4,0
RPC17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPC34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RPC40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPE1,456,211,278,1,20,1,0,0,0,1,4,2,0,2,0,338,1634,331,110,96,53,12,12,4
RPF2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPG1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
RPH1,30,27,41,0,0,0,0,2,0,0,0,0,1,2,0,40,138,23,2,13,8,0,0,2
RPI1,711,381,502,120,104,136,117,81,69,174,141,134,115,98,92,427,1538,533,762,465,531,182,126,70
RPL11B,107,45,94,28,254,185,26,94,15,15,86,32,32,150,34,55,136,18,206,179,138,81,259,104
RPL12A,670,491,356,0,0,0,0,2,0,1,0,0,3,0,0,969,4431,644,56,113,29,12,16,4
RPL12B,343,190,164,106,602,210,106,298,49,262,132,37,136,242,71,63,111,47,450,479,307,612,1599,408
RPL13A,772,371,414,3,57,72,11,20,4,289,56,14,17,14,13,234,1802,163,332,421,205,85,160,35
RPL13B,35,12,14,0,0,0,0,0,0,0,0,0,0,0,0,86,94,52,8,14,6,2,8,0
RPL14A,142,62,149,0,0,0,0,1,0,0,0,0,0,0,1,62,647,91,36,88,30,0,8,6
RPL15B,824,450,622,152,9,183,40,23,100,122,38,134,70,28,125,670,3302,616,515,347,412,130,132,57
RPL16A,273,329,229,394,1834,1192,263,474,755,624,290,919,402,525,752,598,2377,454,613,581,602,728,1261,622
RPL16B,114,119,94,0,0,0,0,0,0,1,1,1,0,0,0,192,1420,111,85,75,37,4,15,4
RPL17B,560,401,339,200,458,777,342,469,350,307,253,218,471,414,657,916,4314,885,1113,1017,1110,1397,1917,858
RPL18B,1531,1153,1230,112,100,81,95,131,71,127,121,95,110,152,155,1125,5446,1483,629,449,430,152,196,66
RPL19A,107,65,5,0,0,0,0,0,0,0,0,0,1,0,0,136,312,94,6,8,4,0,2,0
RPL1A,1603,1530,1770,1786,1539,2336,1056,824,942,2002,1011,1263,1305,869,1455,781,4015,814,3888,2266,2982,1871,1296,726
RPL20A,13,25,43,0,0,0,0,0,0,0,0,0,0,0,1,187,677,145,14,24,4,4,0,0
RPL20B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21A,547,410,356,0,0,3,0,0,0,3,2,1,0,0,0,55,290,34,69,86,48,4,8,16
RPL21B,487,375,426,62,428,172,41,184,51,19,69,65,64,147,91,65,278,67,442,493,282,224,563,119
RPL22A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPL24B,187,108,159,1,26,2,8,15,0,13,12,0,14,19,0,115,622,125,145,129,95,36,85,20
RPL25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RPL26A,555,325,230,23,44,1,56,37,4,54,67,11,69,22,2,374,989,219,211,211,165,91,113,26
RPL26B,1243,753,903,8,38,6,87,53,44,1,10,12,32,35,33,699,4255,576,274,267,144,63,95,35
RPL2A,1246,1053,755,56,181,11,32,120,38,45,47,10,34,66,51,1287,7012,1734,421,441,311,146,219,91
RPL31B,864,453,579,127,6,0,69,55,18,22,1,11,63,39,38,321,1161,251,282,226,207,108,124,52
RPL33B,6,12,0,2,0,2,4,0,0,0,0,0,0,0,0,13,7,6,2,2,4,0,0,0
RPL34A,210,157,108,0,6,0,0,23,6,0,0,0,2,12,2,311,1261,244,114,81,76,33,24,4
