exp,total_reads,barcoded,barcoded_dm,matched,matched_dm,blasted,blasted_dm,mixaled,mixaled_dm,final_mean,final_max,barcoded_mean_qual,dm_mean_qual,nmdm_mean_qual,p_barcoded,p_barcoded_dm,matched_in_barcoded,matched_in_barcoded_dm,balsted_in_barcoded,blasted_in_barcoded_dm,mixaled_in_barcoded,mixaled_in_barcoded_dm,ORFs_in_Puddu,ORFs_in_YKOC,final_ORF_collision_count,reads_from_Puddu,reads_from_YKOC
pD3_L00_R1,4301603,3566001,657829,2852768,481613,475642,118064,543055,132541,1908.9209959300933,366179,16.289861980471112,16.9207447466817,15.143208207887012,0.8289935170679396,0.15292647880336702,0.7999908020216483,0.732124913921399,0.13338246399818732,0.17947521316329929,0.15228683334637316,0.2014824521266165,2284,1178,49111,3075743.6666666665,797806.5
pD3_L00_R2,4301603,3708540,465446,2987887,314314,494952,95714,555834,105554,1908.9209959300933,366179,16.2569687789574,15.541901121947804,14.641012750441991,0.8621297688326887,0.10820291877237392,0.8056774364035443,0.6752963823945205,0.13346276432234788,0.20563932228443257,0.1498794673914802,0.2267803354202206,2274,1167,49111,3043563.6666666665,783091
pG1_L00_R1,2182805,1699443,438831,1394577,327665,215119,77933,245921,87854,973.7119942542495,503512,16.72019814242606,16.766825400343148,15.481521724245765,0.7785592391441287,0.20103994630761796,0.8206082816546363,0.7466769667594131,0.12658206247576412,0.17759228495707916,0.14470682453015488,0.20020007702281745,2318,1163,34073,1463604.6666666667,471882
pG1_L00_R2,2182805,1823397,286891,1460510,187387,256571,68046,288686,74597,973.7119942542495,503512,16.277692184119513,15.298251724181618,14.598945921462956,0.8353458050535894,0.13143226261622087,0.8009830004107718,0.6531644422446156,0.14071044320024656,0.2371841570491929,0.1583231737246469,0.2600186133409553,2307,1156,34073,1389259.6666666667,455936
pG2_L00_R1,1939572,1512688,388720,1248052,292232,184083,67509,211745,76262,869.2801053387599,324902,16.597185487491355,16.742359744940536,15.485964928071796,0.7799081446834663,0.20041534936573635,0.8250557947177475,0.7517802016875901,0.1216926425012957,0.1736699938258901,0.1399792951355468,0.19618748713727105,2346,1152,34482,1281646.6666666667,425932.5
pG2_L00_R2,1939572,1650012,231468,1348928,155814,214780,51532,241584,56374,869.2801053387599,324902,16.350101393602472,15.457446296346268,14.769350657919581,0.8507093317494787,0.11933973062098237,0.817526175567208,0.6731556845870703,0.1301687502878767,0.22263120604143985,0.1464134806292318,0.2435498643440994,2324,1144,34482,1246104.6666666667,418852.3333333333
pG3_L00_R1,2060159,1619366,397593,1330439,296392,196924,68819,227811,78254,917.793152980608,180257,16.49065310610969,16.611693099941935,15.297734001516414,0.7860393299740457,0.19299141474031858,0.8215801739693188,0.7454658406963905,0.12160561602503696,0.17308906343924566,0.14067912998049853,0.1968193605018197,2274,1089,34254,1368193.6666666667,417507
pG3_L00_R2,2060159,1745242,248995,1414269,166096,227173,54577,259604,60759,917.793152980608,180257,16.159600710638088,15.25007152727278,14.500458689038636,0.8471394683614226,0.1208620305520108,0.8103569590922062,0.6670656037269824,0.130167048466631,0.21918914034418363,0.14874957169263633,0.24401694813148858,2268,1096,34254,1321727.6666666667,410363
RD1_L00_R1,1742099,1451966,261030,1181133,193086,197589,48369,223592,54060,784.8688053627005,231589,16.71620690346648,16.919228934475154,15.610005788747571,0.8334578000446587,0.14983649034871152,0.8134715275702048,0.7397080795310884,0.13608376504683994,0.18530054016779682,0.15399258660326756,0.20710263188139294,2267,1118,17902,1115581.6666666667,364780
RD1_L00_R2,1742099,1505299,189813,1210867,128415,214626,41967,240966,46282,784.8688053627005,231589,16.369727542664087,15.560364165473976,14.785557501382788,0.8640720188691917,0.10895649443573528,0.8044029790759178,0.6765342732057341,0.14258031128699347,0.22109655292314015,0.16007849603301405,0.2438294531986745,2274,1120,17902,1080644.6666666667,356402.3333333333
RD2_L00_R1,1354441,1135242,197188,933466,148078,147033,35105,167343,39363,612.7392865693081,115073,16.684335659216952,16.771623471445952,15.599505505485038,0.8381627549668091,0.14558626030960375,0.8222616851737339,0.7509483335699941,0.12951687833959633,0.17802807473071383,0.14740733693785113,0.19962168083250503,2225,1075,13963,822906.6666666667,285249
RD2_L00_R2,1354441,1180697,140650,960858,95594,159538,31093,180376,34337,612.7392865693081,115073,16.35880145440922,15.574390559281035,14.789671598697115,0.871722725463863,0.10384357827325073,0.8138057435565602,0.6796587273373622,0.1351218813971747,0.22106647707074298,0.15277077861635965,0.24413082118734447,2225,1086,13963,797814.6666666667,277699.3333333333
RD3_L00_R1,1953224,1611600,304860,1301557,223317,217421,56938,248858,63987,870.5992338999282,187156,16.567203926530496,16.74985126748619,15.49990093875948,0.8250973774641311,0.15608040859624908,0.8076178952593696,0.7325231253690219,0.13491002730206006,0.18676769664764153,0.15441672871680318,0.20988978547530013,2231,1083,19222,1266236.6666666667,369227.5
RD3_L00_R2,1953224,1649006,242712,1310933,156876,233888,57510,267263,63707,870.5992338999282,187156,16.186054017276543,15.300283441821477,14.625951697322922,0.844248278743247,0.1242622453953054,0.7949837659778073,0.6463462869573816,0.14183574832353552,0.23694749332542273,0.16207521379546225,0.26247981146379246,2227,1080,19222,1209171.6666666667,357467.5
RG1_L00_R1,2262503,1863190,355712,1501816,260543,244419,64648,281208,73015,1001.3531242518554,435718,16.498327213546702,16.816697987802133,15.448039083937841,0.8235083003204857,0.15722056501140552,0.8060455455428593,0.73245490734077,0.13118307848367586,0.18174253328535445,0.15092824671665261,0.20526437117668225,2371,1182,32841,1503721.6666666667,486165
